time,emotion
2025-01-24T19:46:00.472865,Desconocida
2025-01-24T19:46:01.073321,Desconocida
2025-01-24T19:46:01.148830,Desconocida
2025-01-24T19:46:01.349678,Desconocida
2025-01-24T19:46:01.472398,Desconocida
2025-01-24T19:46:01.566392,Desconocida
2025-01-24T19:46:01.673732,Desconocida
2025-01-24T19:46:01.750766,Desconocida
2025-01-24T19:46:01.896213,Desconocida
2025-01-24T19:46:02.094794,Desconocida
2025-01-24T19:46:02.149428,Desconocida
2025-01-24T19:46:02.293479,Desconocida
2025-01-24T19:46:02.473522,Desconocida
2025-01-24T19:46:02.548527,Desconocida
2025-01-24T19:46:02.749200,Desconocida
2025-01-24T19:46:03.148030,Desconocida
2025-01-24T19:46:03.473460,Desconocida
2025-01-24T19:46:03.947904,Desconocida
